Company Name,Ticker,Year,Distress Status,Distress Event,Distress Event Year
JPMorgan Chase & Co.,JPM,2024,0,None,N/A
JPMorgan Chase & Co.,JPM,2025,0,None,N/A
The Coca-Cola Company,KO,2023,0,None,N/A
The Coca-Cola Company,KO,2024,0,None,N/A
The Coca-Cola Company,KO,2025,0,None,N/A
Kohl's Corporation,KSS,2025,0,None,N/A
"Lucid Group, Inc.",LCID,2025,0,None,N/A
Linde plc,LIN,2023,0,None,N/A
Linde plc,LIN,2024,0,None,N/A
Linde plc,LIN,2025,0,None,N/A
"Lumen Technologies, Inc.",LUMN,2025,0,None,N/A
McDonald's Corporation,MCD,2023,0,None,N/A
McDonald's Corporation,MCD,2024,0,None,N/A
McDonald's Corporation,MCD,2025,0,None,N/A
Microsoft Corporation,MSFT,2023,0,None,N/A
Microsoft Corporation,MSFT,2024,0,None,N/A
Microsoft Corporation,MSFT,2025,0,None,N/A
"MicroVision, Inc.",MVIS,2024,0,None,N/A
"MicroVision, Inc.",MVIS,2025,0,None,N/A
Norwegian Cruise Line Holdings Ltd.,NCLH,2024,0,None,N/A
Norwegian Cruise Line Holdings Ltd.,NCLH,2025,0,None,N/A
"NextEra Energy, Inc.",NEE,2023,0,None,N/A
"NextEra Energy, Inc.",NEE,2024,0,None,N/A
"NextEra Energy, Inc.",NEE,2025,0,None,N/A
"NIKE, Inc.",NKE,2023,0,None,N/A
"NIKE, Inc.",NKE,2024,0,None,N/A
"NIKE, Inc.",NKE,2025,0,None,N/A
NVIDIA Corporation,NVDA,2023,0,None,N/A
NVIDIA Corporation,NVDA,2024,0,None,N/A
NVIDIA Corporation,NVDA,2025,0,None,N/A
Opendoor Technologies Inc.,OPEN,2024,0,None,N/A
Opendoor Technologies Inc.,OPEN,2025,0,None,N/A
Paramount Global,PARA,2025,0,None,N/A
"PepsiCo, Inc.",PEP,2023,0,None,N/A
"PepsiCo, Inc.",PEP,2024,0,None,N/A
"PepsiCo, Inc.",PEP,2025,0,None,N/A
Procter & Gamble Company,PG,2023,0,None,N/A
Procter & Gamble Company,PG,2024,0,None,N/A
Procter & Gamble Company,PG,2025,0,None,N/A
Plug Power Inc.,PLUG,2024,0,None,N/A
Plug Power Inc.,PLUG,2025,0,None,N/A
"Peloton Interactive, Inc.",PTON,2025,0,None,N/A
"Rivian Automotive, Inc.",RIVN,2025,0,None,N/A
EchoStar Corporation / DISH,SATS,2025,0,None,N/A
"Virgin Galactic Holdings, Inc.",SPCE,2025,0,None,N/A
Thermo Fisher Scientific Inc.,TMO,2023,0,None,N/A
Thermo Fisher Scientific Inc.,TMO,2024,0,None,N/A
Thermo Fisher Scientific Inc.,TMO,2025,0,None,N/A
"Upstart Holdings, Inc.",UPST,2024,0,None,N/A
"Upstart Holdings, Inc.",UPST,2025,0,None,N/A
Visa Inc.,V,2023,0,None,N/A
Visa Inc.,V,2024,0,None,N/A
Visa Inc.,V,2025,0,None,N/A
"Warner Bros. Discovery, Inc.",WBD,2025,0,None,N/A
Walmart Inc.,WMT,2023,0,None,N/A
Walmart Inc.,WMT,2024,0,None,N/A
Walmart Inc.,WMT,2025,0,None,N/A
Exxon Mobil Corporation,XOM,2023,0,None,N/A
Exxon Mobil Corporation,XOM,2024,0,None,N/A
Exxon Mobil Corporation,XOM,2025,0,None,N/A
